days_until_expiry,credential_age_days,dependency_count,privilege_level,environment,historical_rotation_failures,access_frequency_per_day,risk_level
57,89,4,ADMIN,Testing,2,793,HIGH
98,204,2,MEDIUM,Development,0,518,LOW
65,143,0,MEDIUM,Production,0,948,MEDIUM
68,333,3,HIGH,Staging,0,720,MEDIUM
1,314,3,ADMIN,Production,0,764,HIGH
30,178,2,LOW,Production,0,743,MEDIUM
11,220,1,MEDIUM,Staging,0,734,MEDIUM
24,291,1,HIGH,Testing,0,796,MEDIUM
3,7,1,MEDIUM,Development,0,397,MEDIUM
15,164,1,LOW,Testing,0,386,LOW
157,206,0,HIGH,Development,0,294,LOW
8,156,3,MEDIUM,Production,0,382,HIGH
1,278,1,MEDIUM,Production,1,903,HIGH
37,122,2,MEDIUM,Development,2,150,MEDIUM
30,44,2,LOW,Production,0,657,MEDIUM
4,134,5,LOW,Production,2,407,HIGH
100,70,4,HIGH,Production,0,164,HIGH
136,107,2,MEDIUM,Development,0,877,LOW
3,168,0,LOW,Development,0,369,MEDIUM
142,285,3,LOW,Staging,0,478,LOW
4,206,1,HIGH,Development,0,665,MEDIUM
10,66,0,MEDIUM,Development,1,833,MEDIUM
13,203,2,LOW,Staging,0,441,MEDIUM
1,318,3,LOW,Development,0,515,MEDIUM
16,330,5,MEDIUM,Production,0,650,HIGH
53,249,1,MEDIUM,Testing,0,334,LOW
2,242,2,LOW,Staging,0,243,MEDIUM
65,113,2,LOW,Testing,3,402,MEDIUM
68,358,1,HIGH,Staging,0,725,MEDIUM
43,90,2,ADMIN,Production,0,243,HIGH
4,67,1,LOW,Production,0,826,MEDIUM
76,270,5,MEDIUM,Production,2,387,HIGH
4,81,3,HIGH,Production,0,659,HIGH
73,194,1,HIGH,Testing,0,135,MEDIUM
33,314,1,LOW,Development,0,513,LOW
172,46,4,HIGH,Development,0,751,MEDIUM
15,56,3,MEDIUM,Testing,0,453,MEDIUM
20,246,4,ADMIN,Production,0,781,HIGH
4,54,0,LOW,Production,0,389,MEDIUM
70,221,6,LOW,Development,0,916,LOW
57,277,1,LOW,Production,0,248,LOW
3,45,1,MEDIUM,Development,0,619,MEDIUM
28,60,1,LOW,Production,0,505,MEDIUM
13,229,0,MEDIUM,Testing,0,274,MEDIUM
1,177,4,MEDIUM,Staging,0,779,HIGH
74,121,2,MEDIUM,Production,0,929,MEDIUM
5,86,7,LOW,Testing,1,134,MEDIUM
7,305,1,LOW,Development,1,941,MEDIUM
51,7,4,LOW,Production,0,540,MEDIUM
68,52,6,LOW,Production,0,108,MEDIUM
16,312,2,ADMIN,Production,0,417,HIGH
56,26,3,HIGH,Development,2,923,MEDIUM
153,351,0,MEDIUM,Staging,1,142,MEDIUM
2,227,1,HIGH,Staging,1,763,HIGH
2,364,2,MEDIUM,Production,0,876,HIGH
5,234,0,MEDIUM,Production,0,208,HIGH
90,124,1,HIGH,Staging,0,186,MEDIUM
41,353,0,MEDIUM,Testing,0,55,LOW
5,334,2,MEDIUM,Development,0,804,MEDIUM
42,115,1,HIGH,Testing,1,317,MEDIUM
20,112,2,HIGH,Production,0,849,HIGH
72,153,3,MEDIUM,Production,0,349,MEDIUM
28,77,2,HIGH,Testing,0,63,MEDIUM
7,14,3,HIGH,Production,3,270,HIGH
76,176,3,MEDIUM,Testing,0,552,LOW
50,286,1,MEDIUM,Production,0,136,MEDIUM
88,114,1,HIGH,Production,0,319,MEDIUM
150,241,0,ADMIN,Production,0,599,MEDIUM
29,28,5,LOW,Testing,0,210,MEDIUM
86,250,1,ADMIN,Staging,3,325,HIGH
13,46,0,LOW,Production,0,444,MEDIUM
65,8,5,ADMIN,Production,0,548,HIGH
15,53,1,HIGH,Development,0,176,MEDIUM
24,352,8,LOW,Development,0,928,LOW
45,68,1,HIGH,Production,0,521,MEDIUM
4,274,3,MEDIUM,Development,0,54,MEDIUM
30,64,2,HIGH,Production,0,161,HIGH
73,139,3,HIGH,Staging,0,433,MEDIUM
17,312,1,LOW,Production,0,540,MEDIUM
13,107,3,MEDIUM,Testing,0,245,MEDIUM
1,52,5,HIGH,Development,0,472,HIGH
113,149,1,MEDIUM,Testing,0,441,LOW
4,184,5,LOW,Production,2,279,HIGH
142,140,4,LOW,Testing,0,494,LOW
98,82,0,HIGH,Production,1,499,HIGH
94,67,2,HIGH,Production,0,913,HIGH
76,296,3,LOW,Production,0,690,MEDIUM
21,340,3,MEDIUM,Testing,0,864,MEDIUM
72,241,5,ADMIN,Production,1,81,HIGH
63,194,2,MEDIUM,Production,0,475,MEDIUM
106,335,0,MEDIUM,Production,0,41,MEDIUM
66,234,6,LOW,Production,0,60,MEDIUM
73,59,0,HIGH,Production,0,7,MEDIUM
96,253,0,HIGH,Staging,0,743,MEDIUM
5,98,3,MEDIUM,Production,0,429,HIGH
60,259,0,HIGH,Development,0,548,LOW
80,89,3,MEDIUM,Production,0,401,MEDIUM
69,141,1,HIGH,Production,0,306,MEDIUM
66,284,3,LOW,Production,0,644,MEDIUM
72,356,3,HIGH,Production,0,784,HIGH
29,217,4,MEDIUM,Staging,0,30,MEDIUM
111,350,1,LOW,Staging,1,712,LOW
3,346,3,LOW,Production,1,765,HIGH
97,199,2,MEDIUM,Production,0,706,MEDIUM
70,325,3,MEDIUM,Staging,0,778,MEDIUM
113,39,1,HIGH,Production,0,531,MEDIUM
41,3,1,LOW,Development,0,163,LOW
28,294,2,ADMIN,Development,0,729,MEDIUM
41,207,0,LOW,Staging,0,223,LOW
151,333,0,MEDIUM,Production,0,461,MEDIUM
9,59,1,HIGH,Staging,0,294,MEDIUM
128,99,1,MEDIUM,Development,0,103,LOW
35,110,5,ADMIN,Development,0,111,MEDIUM
83,79,0,HIGH,Staging,0,43,MEDIUM
120,209,1,LOW,Development,0,448,LOW
1,300,0,MEDIUM,Staging,1,371,HIGH
36,225,1,LOW,Testing,1,36,LOW
7,347,5,MEDIUM,Production,2,892,HIGH
33,202,2,MEDIUM,Production,2,317,HIGH
173,73,1,HIGH,Staging,0,859,MEDIUM
60,149,3,LOW,Staging,0,207,LOW
6,146,3,MEDIUM,Production,1,330,HIGH
68,187,4,MEDIUM,Production,2,177,HIGH
7,170,5,LOW,Development,0,372,MEDIUM
69,72,5,MEDIUM,Production,0,756,MEDIUM
71,297,2,LOW,Testing,0,933,LOW
28,115,5,MEDIUM,Development,0,882,MEDIUM
3,123,4,MEDIUM,Staging,1,633,HIGH
163,338,5,HIGH,Production,0,754,HIGH
15,22,3,MEDIUM,Production,0,815,HIGH
2,267,3,MEDIUM,Staging,0,764,HIGH
55,40,2,MEDIUM,Staging,0,934,MEDIUM
2,72,2,MEDIUM,Staging,0,531,HIGH
69,213,4,LOW,Production,0,498,MEDIUM
3,23,0,MEDIUM,Production,0,142,HIGH
124,265,6,LOW,Production,0,582,MEDIUM
44,242,5,ADMIN,Production,0,855,HIGH
5,352,1,LOW,Production,0,609,MEDIUM
157,259,3,MEDIUM,Development,1,625,MEDIUM
3,338,0,MEDIUM,Development,0,852,MEDIUM
138,358,2,ADMIN,Development,0,826,MEDIUM
21,120,5,HIGH,Production,0,617,HIGH
78,61,2,MEDIUM,Testing,0,215,LOW
58,134,5,MEDIUM,Production,0,379,MEDIUM
21,190,2,ADMIN,Production,0,319,HIGH
29,359,6,HIGH,Production,0,525,HIGH
3,47,4,MEDIUM,Production,0,619,HIGH
69,206,3,LOW,Production,0,733,MEDIUM
116,266,1,LOW,Testing,0,618,LOW
5,1,7,HIGH,Production,0,287,HIGH
2,361,0,MEDIUM,Production,0,296,HIGH
6,100,2,MEDIUM,Production,0,9,HIGH
134,263,6,MEDIUM,Staging,1,837,MEDIUM
61,235,3,MEDIUM,Production,1,887,HIGH
81,118,4,LOW,Development,0,366,LOW
36,176,0,LOW,Production,2,492,MEDIUM
178,98,2,LOW,Staging,0,758,LOW
15,55,0,MEDIUM,Staging,0,684,MEDIUM
23,295,5,LOW,Production,0,787,HIGH
9,277,0,MEDIUM,Testing,0,886,LOW
1,108,1,LOW,Production,0,375,HIGH
151,176,1,MEDIUM,Production,0,220,MEDIUM
59,295,3,HIGH,Production,1,743,HIGH
14,5,1,LOW,Staging,0,919,LOW
50,291,0,MEDIUM,Production,0,172,MEDIUM
4,185,2,HIGH,Development,2,268,HIGH
67,90,7,MEDIUM,Staging,0,337,MEDIUM
10,324,6,MEDIUM,Production,1,660,HIGH
10,161,1,MEDIUM,Production,0,278,MEDIUM
26,95,5,MEDIUM,Production,0,245,HIGH
3,33,6,ADMIN,Production,0,60,HIGH
1,200,1,MEDIUM,Development,0,295,MEDIUM
8,167,5,LOW,Production,0,896,MEDIUM
65,234,3,MEDIUM,Production,0,582,MEDIUM
6,46,2,HIGH,Production,0,271,HIGH
49,353,6,LOW,Development,2,493,MEDIUM
5,288,2,HIGH,Staging,0,737,HIGH
36,265,4,MEDIUM,Production,1,831,HIGH
6,149,0,MEDIUM,Production,0,468,HIGH
97,12,1,HIGH,Staging,0,280,MEDIUM
10,176,2,MEDIUM,Development,0,515,MEDIUM
1,201,0,MEDIUM,Testing,0,201,MEDIUM
11,227,1,MEDIUM,Testing,3,208,HIGH
178,166,1,HIGH,Production,0,767,MEDIUM
28,27,5,MEDIUM,Testing,0,120,MEDIUM
16,125,0,MEDIUM,Staging,0,807,MEDIUM
10,352,3,HIGH,Production,2,782,HIGH
5,120,1,LOW,Production,0,665,MEDIUM
8,69,1,HIGH,Production,0,728,HIGH
67,166,3,MEDIUM,Production,0,856,MEDIUM
24,135,2,ADMIN,Production,0,799,HIGH
85,123,1,MEDIUM,Production,0,556,MEDIUM
25,210,3,LOW,Production,0,540,MEDIUM
9,51,0,LOW,Production,0,402,MEDIUM
54,37,0,MEDIUM,Production,2,676,HIGH
34,213,4,ADMIN,Production,0,64,HIGH
118,50,0,MEDIUM,Production,0,399,MEDIUM
25,55,4,MEDIUM,Development,0,695,MEDIUM
66,337,1,HIGH,Production,3,458,HIGH
19,166,3,ADMIN,Testing,0,224,MEDIUM
148,1,3,MEDIUM,Staging,3,615,HIGH
118,12,4,LOW,Development,2,847,MEDIUM
11,71,1,MEDIUM,Staging,1,260,MEDIUM
89,167,4,HIGH,Staging,0,850,MEDIUM
9,29,6,HIGH,Testing,0,905,HIGH
168,325,4,MEDIUM,Production,0,317,MEDIUM
5,26,3,MEDIUM,Production,3,461,HIGH
5,173,0,MEDIUM,Production,0,55,HIGH
30,102,2,MEDIUM,Production,0,205,HIGH
35,166,3,ADMIN,Production,0,120,HIGH
53,157,1,MEDIUM,Production,0,846,MEDIUM
7,192,1,MEDIUM,Testing,0,92,MEDIUM
31,57,1,LOW,Development,0,344,LOW
61,73,3,MEDIUM,Staging,0,390,MEDIUM
6,357,3,HIGH,Production,0,675,HIGH
29,56,0,LOW,Testing,1,669,LOW
62,96,1,ADMIN,Staging,2,579,HIGH
62,10,1,LOW,Testing,0,645,LOW
123,16,6,ADMIN,Staging,2,235,HIGH
77,348,3,ADMIN,Development,0,237,MEDIUM
52,106,3,MEDIUM,Production,0,705,MEDIUM
89,290,5,ADMIN,Production,0,575,HIGH
77,212,7,HIGH,Production,0,768,HIGH
3,95,0,ADMIN,Testing,3,636,HIGH
15,353,4,MEDIUM,Staging,0,871,MEDIUM
5,99,1,HIGH,Production,0,20,HIGH
113,225,5,ADMIN,Testing,0,337,MEDIUM
69,202,3,ADMIN,Testing,0,613,MEDIUM
24,22,5,HIGH,Production,0,555,HIGH
171,98,1,HIGH,Staging,0,316,MEDIUM
70,73,2,MEDIUM,Production,0,97,MEDIUM
20,92,2,LOW,Production,1,922,HIGH
72,64,0,MEDIUM,Staging,0,654,LOW
2,88,5,MEDIUM,Staging,0,680,HIGH
30,229,1,LOW,Testing,0,925,LOW
154,279,4,LOW,Development,0,510,LOW
59,4,1,MEDIUM,Staging,0,639,LOW
40,19,0,HIGH,Production,0,596,MEDIUM
4,146,3,MEDIUM,Production,0,614,HIGH
9,195,4,MEDIUM,Production,0,868,HIGH
30,212,2,MEDIUM,Production,0,631,HIGH
77,362,1,MEDIUM,Development,0,329,LOW
12,324,2,MEDIUM,Staging,1,909,HIGH
32,61,3,HIGH,Production,0,635,HIGH
6,328,1,MEDIUM,Testing,0,814,MEDIUM
8,203,3,MEDIUM,Development,0,34,MEDIUM
82,247,1,LOW,Production,0,890,LOW
50,162,2,MEDIUM,Production,0,596,MEDIUM
12,193,3,HIGH,Production,1,589,HIGH
85,140,2,LOW,Production,0,248,MEDIUM
2,20,4,HIGH,Staging,1,459,HIGH
52,269,1,HIGH,Production,0,792,MEDIUM
14,268,0,HIGH,Testing,0,50,MEDIUM
1,338,3,MEDIUM,Production,0,781,HIGH
49,226,3,ADMIN,Staging,0,166,MEDIUM
65,139,0,LOW,Staging,0,295,LOW
6,242,5,LOW,Production,0,397,HIGH
27,102,3,MEDIUM,Development,0,551,MEDIUM
10,234,1,ADMIN,Development,0,789,MEDIUM
27,359,5,LOW,Production,0,886,MEDIUM
23,88,1,MEDIUM,Testing,0,593,MEDIUM
3,155,2,LOW,Development,0,428,MEDIUM
7,356,2,LOW,Staging,0,450,MEDIUM
3,365,2,MEDIUM,Production,0,611,HIGH
1,56,3,MEDIUM,Production,0,844,HIGH
108,326,4,MEDIUM,Staging,0,681,MEDIUM
178,154,2,MEDIUM,Development,1,316,LOW
68,262,2,ADMIN,Testing,0,306,MEDIUM
1,145,5,ADMIN,Development,0,724,HIGH
55,340,1,HIGH,Production,0,573,MEDIUM
5,6,0,ADMIN,Staging,0,743,HIGH
144,357,3,HIGH,Testing,0,189,MEDIUM
19,4,2,MEDIUM,Production,1,247,HIGH
9,189,0,MEDIUM,Production,0,712,MEDIUM
64,313,0,HIGH,Development,0,764,LOW
34,6,2,HIGH,Production,0,485,HIGH
41,306,3,MEDIUM,Production,0,582,MEDIUM
175,320,0,HIGH,Staging,0,134,MEDIUM
12,132,0,ADMIN,Production,0,183,HIGH
7,359,1,HIGH,Testing,0,545,MEDIUM
90,212,4,MEDIUM,Testing,0,455,MEDIUM
72,60,0,LOW,Production,0,492,LOW
20,75,2,HIGH,Staging,0,300,HIGH
3,273,3,MEDIUM,Testing,2,447,HIGH
6,300,1,HIGH,Production,0,772,HIGH
29,6,3,HIGH,Staging,1,17,HIGH
7,18,0,MEDIUM,Production,0,613,HIGH
102,67,1,HIGH,Production,0,668,MEDIUM
49,39,3,ADMIN,Production,2,288,HIGH
16,32,1,HIGH,Production,0,66,HIGH
62,92,3,HIGH,Staging,0,558,MEDIUM
3,38,0,LOW,Production,0,800,HIGH
4,359,1,ADMIN,Production,0,8,HIGH
